order_id,order_date,region,product,customer_segment,units_sold,revenue
1109,2026-04-19,East,Widget A,Consumer,7,349.93
1110,2026-04-20,South,Widget A,Consumer,36,719.64
1111,2026-04-21,North,Widget B,SMB,20,399.8
1112,2026-04-22,North,Widget C,Consumer,49,979.51
1113,2026-04-23,South,Widget C,Consumer,32,959.68
1114,2026-04-24,West,Widget C,Consumer,47,2349.53
1115,2026-04-25,South,Widget B,Enterprise,39,1169.61
1116,2026-04-26,South,Widget A,Enterprise,42,1259.58
1117,2026-04-27,East,Widget C,Consumer,5,249.95
1118,2026-04-28,West,Widget B,SMB,39,779.61
1119,2026-04-29,South,Widget C,Consumer,30,599.7
1120,2026-04-30,East,Widget C,Consumer,20,999.8
